ID,Local,Tipo,Mediana (dBm),Distância de 10 ~ 30m (em dBm),Perda em dB aprox.,Tendência,Qualidade
1,Frente do Lab 1,AP,-68,-70,-2,Esquerda,Fraco
2,Frente da sala 7,AP,-66,-70,-4,Esquerda,Aceitável
3,Frente do Banheiro Feminino,AP,-48,-52,-4,Direita,Excelente
4,Frente da sala 3,AP,-48,-52,-4,Direita,Excelente
5,Fim da Ala de Engenharia,MEDICAO,-66,-70,-4,Esquerda,Aceitável
6,Fim do Estacionamento,MEDICAO,-71,-77,-6,Esquerda,Ruim
7,Guarita,AP,-39,-46,-7,Direita,Excelente
8,Frente do CIM,MEDICAO,-81,-88,-7,Esquerda,Ruim
9,Setor de Alimentos,AP,-68,-70,-2,Esquerda,Fraco
10,Quadra,AP,-48,-53,-5,Direita,Excelente
11,Lab Maker,MEDICAO,-77,-80,-3,Esquerda,Ruim
12,Setor de Agropecuaria,MEDICAO,-77,-81,-4,Esquerda,Ruim
13,Garagem,AP,-40,-51,-11,Direita,Excelente
14,Area de convivencia da biblioteca,MEDICAO,-58,-63,-5,Esquerda,Bom
15,CIN,AP,-50,-58,-8,Esquerda,Excelente
16,Hall de Entrada,AP,-43,-52,-9,Direita,Excelente
17,Copa,AP,-42,-49,-7,Direita,Excelente
18,NTI,AP,-47,-50,-3,Direita,Excelente
19,Cantina,MEDICAO,-49,-58,-9,Direita,Excelente
20,Frente do Lab de Desenho,AP,-64,-68,-4,Esquerda,Aceitável
21,Frente da Sala 5,AP,-63,-69,-6,Esquerda,Aceitável
22,Frente a Sala dos Professores,AP,-44,-51,-7,Direita,Excelente
23,Frente ao Financeiro,AP,-46,-53,-7,Direita,Excelente
24,Quadra 2,AP,-49,-53,-4,Direita,Excelente
